Symbol,DM1,DM2,Total Score,Average,St. dev,Standard Consensus,
CDW,27.40148987,27.26063558,54.66212546,27.33106273,0.099599024,95.02004882,
NVDA,87.99055477,87.635324,175.6258788,87.81293939,0.251186088,87.4406956,
AVGO,64.06514075,63.45939468,127.5245354,63.76226771,0.428327156,78.5836422,
TXN,34.92879008,34.24967,69.17846008,34.58923004,0.480210413,75.98947937,
ATVI,23.67216582,22.86358731,46.53575313,23.26787656,0.571751346,71.41243268,
AAPL,176.8034352,175.9071529,352.7105881,176.355294,0.633767226,68.3116387,
QCOM,41.6468699,42.84578671,84.49265661,42.2463283,0.847762205,57.61188974,
TER,23.29763197,24.7163855,48.01401747,24.00700874,1.003210238,49.8394881,
SPNS,4.866149853,6.37446854,11.24061839,5.620309196,1.066542371,46.67288143,
MGIC,10.25648503,11.78718015,22.04366518,11.02183259,1.082364894,45.88175528,
BRKR,10.07445019,11.81200099,21.88645118,10.94322559,1.228633955,38.56830226,
EQIX,27.98138916,26.19467937,54.17606853,27.08803427,1.263394607,36.83026963,
MSFT,126.8852032,125.0102367,251.89544,125.94772,1.325801504,33.70992481,
