,Name,Symbol,Market Cap,Revenue,Average Volume (3m),EPS,P/E Ratio,Beta,YTD,1 Year,3 Years,Weekly,Monthly
0,Qualcomm Incorporated,QCOM.O,165660000000.0,36040000000.0,11174558.0,8.73,17.51,1.2,-19.62,6.68,153.04,0,3
1,Tesla Inc,TSLA.O,1120000000000.0,53820000000.0,26651773.0,4.92,218.95,2.08,2.63,63.9,1796.8,4,4
2,NVIDIA Corporation,NVDA.O,669400000000.0,26910000000.0,52702837.0,3.85,70.96,1.42,-9.18,93.4,483.87,4,4
3,Taitron Components Incorporated,TAIT.O,22640000.0,8300000.0,25981.0,0.39,10.0,1.33,-4.22,-15.16,29.97,3,2
4,Intel Corporation,INTC.O,196710000000.0,79020000000.0,39732309.0,4.86,10.2,0.55,-6.58,-25.47,-11.5,0,0
5,AudioCodes Ltd,AUDC.O,823500000.0,248930000.0,128310.0,1.0,25.65,0.58,-27.06,-8.55,61.5,0,1
6,Universal Display,OLED.O,8120000000.0,553530000.0,439057.0,3.87,43.19,1.32,1.43,-29.71,4.75,4,2
7,Cisco Systems Inc,CSCO.O,231220000000.0,51550000000.0,22215344.0,2.8,19.94,0.94,-12.17,7.08,0.67,2,4
8,Microsoft Corporation,MSFT.O,2320000000000.0,184900000000.0,37557052.0,9.4,32.8,0.9,-8.0,27.67,159.6,4,4
9,Apple Inc,AAPL.O,2840000000000.0,378320000000.0,93292683.0,6.02,28.99,1.18,-1.84,41.72,259.33,4,4
10,AstroNova Inc,ALOT.O,109640000.0,117220000.0,8024.0,1.1,13.84,0.72,11.93,10.45,-29.13,4,3
11,Garmin Ltd,GRMN.K,22410000000.0,4980000000.0,1316465.0,5.61,21.16,1.03,-14.73,-12.38,31.57,0,1
12,Elbit Systems Ltd,ESLT.O,9740000000.0,5160000000.0,51816.0,7.55,29.18,0.79,26.33,52.76,63.33,4,4
13,Texas Instruments Incorporated,TXN.O,168040000000.0,18340000000.0,6273342.0,8.26,22.2,0.95,-3.39,-5.2,65.11,4,4
14,Equinix Inc,EQIX.O,69220000000.0,6640000000.0,467181.0,5.54,133.97,0.46,-9.79,12.54,65.71,4,4
15,CDW Corp,CDW.O,23990000000.0,20820000000.0,912111.0,7.03,25.43,1.1,-13.18,4.93,79.11,2,4
16,Broadcom Inc,AVGO.O,255980000000.0,28500000000.0,2583586.0,17.55,35.87,1.03,-5.78,31.73,106.89,4,4
17,Intuit Inc,INTU.O,136860000000.0,11410000000.0,1957868.0,7.84,61.35,1.1,-24.76,22.44,80.4,1,3
18,Sapiens International Corporation NV,SPNS.O,1420000000.0,461030000.0,79800.0,0.85,29.92,1.37,-24.79,-19.73,67.27,0,2
19,Bruker Corporation,BRKR.O,9800000000.0,2420000000.0,817105.0,1.81,35.47,1.23,-22.55,0.11,68.67,0,2
20,InterDigital Inc,IDCC.O,1980000000.0,404380000.0,144313.0,1.02,62.48,1.03,-9.77,-0.71,-2.99,0,0
21,MIND CTI Ltd,MNDO.O,58760000.0,26180000.0,42009.0,0.29,10.19,0.84,-5.38,9.29,38.03,0,2
22,Ebix Inc,EBIX.O,1020000000.0,994940000.0,361722.0,2.22,14.93,2.58,8.55,3.35,-33.23,3,3
23,Wayside Technology Group Inc,WSTG.O,147540000.0,345390000.0,13343.0,2.08,16.58,0.82,-2.88,34.74,204.65,4,4
24,CDK Global Holdings LLC,CDK.O,5730000000.0,1730000000.0,722259.0,1.74,27.91,1.2,17.59,-9.38,-16.56,4,4
25,Western Digital Corporation,WDC.O,15140000000.0,18940000000.0,3965286.0,6.34,7.83,1.57,-25.79,-32.2,-3.95,0,0
26,Activision Blizzard Inc,ATVI.O,63110000000.0,8800000000.0,12291522.0,3.44,23.26,0.54,21.48,-15.41,70.29,4,4
27,MKS Instruments Inc,MKSI.O,7840000000.0,2950000000.0,539075.0,9.9,15.15,1.44,-18.92,-27.9,48.96,0,2
28,Teradyne Inc,TER.O,18900000000.0,3700000000.0,2055816.0,5.52,21.41,1.48,-28.84,-9.66,176.94,1,2
29,Analog Devices Inc,ADI.O,86540000000.0,8440000000.0,3948652.0,3.17,52.06,1.09,-5.92,3.11,52.96,4,3
31,Magic,MGIC.O,859760000.0,480330000.0,29046.0,0.6,28.84,1.34,-16.29,11.52,106.6,0,2
32,Logitech International SA,LOGI.O,11880000000.0,5790000000.0,962413.0,4.44,16.61,0.86,-13.39,-33.84,79.5,0,1
33,Asia Pacific Wire & Cable Corp Ltd,APWC.O,37320000.0,411230000.0,35869.0,0.01,167.59,0.86,-11.27,-53.59,-21.2,0,0
34,Skyworks Solutions Inc,SWKS.O,21350000000.0,5110000000.0,1989565.0,8.32,16.01,1.08,-14.9,-29.66,56.88,0,1
