Name,Symbol,15 Minutes,30 Minutes,Hourly,5 Hours,Daily,Weekly,Monthly,
Qualcomm Incorporated,QCOM.O,Buy,Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Buy,
Tesla Inc,TSLA.O,Buy,Neutral,Neutral,Strong Buy,Strong Buy,Strong Buy,Strong Buy,
NVIDIA Corporation,NVDA.O,Neutral,Sell,Sell,Sell,Strong Buy,Strong Buy,Strong Buy,
Taitron Components Incorporated,TAIT.O,Strong Sell,Sell,Strong Sell,Neutral,Neutral,Buy,Neutral,
Intel Corporation,INTC.O,Buy,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Sell,Strong Sell,
AudioCodes Ltd,AUDC.O,Neutral,Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,
Universal Display,OLED.O,Neutral,Sell,Sell,Sell,Strong Buy,Strong Buy,Neutral,
Cisco Systems Inc,CSCO.O,Strong Buy,Neutral,Neutral,Buy,Strong Buy,Neutral,Strong Buy,
Microsoft Corporation,MSFT.O,Strong Buy,Buy,Neutral,Strong Buy,Strong Buy,Strong Buy,Strong Buy,
Apple Inc,AAPL.O,Strong Buy,Neutral,Neutral,Neutral,Strong Buy,Strong Buy,Strong Buy,
AstroNova Inc,ALOT.O,Neutral,Neutral,Neutral,Neutral,Strong Buy,Strong Buy,Buy,
Garmin Ltd,GRMN.K,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,
Elbit Systems Ltd,ESLT.O,Neutral,Sell,Strong Sell,Sell,Neutral,Strong Buy,Strong Buy,
Texas Instruments Incorporated,TXN.O,Buy,Sell,Sell,Sell,Strong Buy,Strong Buy,Strong Buy,
Equinix Inc,EQIX.O,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,
CDW Corp,CDW.O,Strong Buy,Strong Buy,Neutral,Neutral,Neutral,Neutral,Strong Buy,
Broadcom Inc,AVGO.O,Strong Buy,Neutral,Neutral,Buy,Strong Buy,Strong Buy,Strong Buy,
Intuit Inc,INTU.O,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Buy,Sell,Buy,
Sapiens International Corporation NV,SPNS.O,Strong Buy,Strong Buy,Strong Buy,Neutral,Sell,Strong Sell,Neutral,
Bruker Corporation,BRKR.O,Buy,Buy,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,
InterDigital Inc,IDCC.O,Strong Buy,Strong Buy,Strong Buy,Neutral,Neutral,Strong Sell,Strong Sell,
MIND CTI Ltd,MNDO.O,Strong Buy,Strong Buy,Strong Buy,Neutral,Strong Sell,Strong Sell,Neutral,
Ebix Inc,EBIX.O,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,Buy,Buy,
Wayside Technology Group Inc,WSTG.O,Sell,Buy,Neutral,Strong Buy,Strong Buy,Strong Buy,Strong Buy,
CDK Global Holdings LLC,CDK.O,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,
Western Digital Corporation,WDC.O,Buy,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,
Activision Blizzard Inc,ATVI.O,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,
MKS Instruments Inc,MKSI.O,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,
Teradyne Inc,TER.O,Neutral,Strong Sell,Strong Sell,Strong Sell,Neutral,Sell,Neutral,
Analog Devices Inc,ADI.O,Strong Buy,Strong Buy,Neutral,Neutral,Strong Buy,Strong Buy,Buy,
CMC Materials Inc,CCMP.O,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Buy,Strong Buy,
Magic,MGIC.O,Sell,Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,
Logitech International SA,LOGI.O,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,
Asia Pacific Wire & Cable Corp Ltd,APWC.O,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,
Skyworks Solutions Inc,SWKS.O,Buy,Neutral,Strong Sell,Strong Sell,Sell,Strong Sell,Sell,
